measure,network_1_values,network_2_values,type,weight_1,weight_2,weight
num_nodes,7.898782494756193,6.841616617903061,Component Measure,1.0,1.0,1.0
num_edges,8.74703428943754,7.965545693693241,Component Measure,1.0,1.0,1.0
largest_wcc_proportion,0.806978,0.989316,Component Measure,1.0,1.0,1.0
second_largest_wcc_proportion,0.040089,0.002137,Component Measure,1.0,1.0,1.0
min_wcc_size_proportion,0.000742,0.002137,Component Measure,1.0,1.0,1.0
largest_scc_proportion,0.013363,0.017094,Component Measure,1.0,1.0,1.0
second_largest_scc_proportion,0.005197,0.010684,Component Measure,1.0,1.0,1.0
num_isolates_proportion,0.764706,0.833333,Component Measure,1.0,1.0,1.0
num_dyads_proportion,0.095588,0.0,Component Measure,1.0,1.0,1.0
num_triads_proportion,0.051471,0.0,Component Measure,1.0,1.0,1.0
num_groups_proportion,0.088235,0.166667,Component Measure,1.0,1.0,1.0
bow_tie_scc_fraction,0.013363028953229399,0.017094017094017096,Component Measure,1.0,1.0,1.0
bow_tie_in_fraction,0.014847809948032665,0.023504273504273504,Component Measure,1.0,1.0,1.0
bow_tie_out_fraction,0.6139569413511508,0.37393162393162394,Component Measure,1.0,1.0,1.0
all_link_mean,1.0,1.0,Link Measure,1.0,1.0,1.0
all_link_std,0.0,0.0,Link Measure,1.0,1.0,1.0
non_self_proportion,0.9869675778766688,0.9979166666666667,Link Measure,1.0,1.0,1.0
non_self_mean,1.0,1.0,Link Measure,1.0,1.0,1.0
non_self_std,0.0,0.0,Link Measure,1.0,1.0,1.0
self_loops_proportion,0.013032422123331213,0.0020833333333333333,Link Measure,1.0,1.0,1.0
self_loops_mean,1.0,1.0,Link Measure,1.0,1.0,1.0
self_loops_std,0.0,0.0,Link Measure,1.0,1.0,1.0
degree assortativity,-0.165304,-0.027552,Global Network Measure,1.0,1.0,1.0
transitivity,0.231834,0.427135,Global Network Measure,1.0,1.0,1.0
local clustering coefficient,0.426538,0.454382,Global Network Measure,1.0,1.0,1.0
reciprocity,0.010413,0.007008,Global Network Measure,1.0,1.0,1.0
